# EPISODE
track: Astraphobia
title: Into the Valley
tagline: Thunder without storms
album: Syaksa
episode_number: 5

# STORY


1 | Naomi | Narration | Thunder rumbled off in the distance, yet there was no sign of a storm. Clear blue skies and a light breeze, the only thing out of place was a massive pit surrounded by geometric markings on the ground. It reminded me of what we flew out of in the desert. We had to be miles and miles away to see it so completely, even this high up. Grazing animals were like ants as they meandered between their several groups around the gaping abyss. Oblivious to the rising ground I impacted and deflected down the sloped hills. Skimming the tops of the green and brown blades, I braced for the short fall as I disengaged the Decoherence Mechanism. Sliding for a few meters produced grass stains on my elbows and knees. As I got to my feet Kai and the Emissaries silently touched down around me, Kai holding back a laugh after watching me hit the ground. Gazing into the valley, the uncultivated expanse within something so artificial entranced us; questions shouldered their way into awareness.
2 | Naomi | Thought | Left alone, life will do as it always does and settle into a niche. Whether it currently exists or not is irrelevant, equilibrium is sought out, and it will be found.
3 | Naomi | Thought | Energy will always be conserved. Life evolves as a response to its environment, so how do they fit into this?
4 | Emissary | Spoken | Come, we must find shelter; the storm is almost upon us.

T | 51 | Scene | Theory of Mind

5| Naomi | Narration | A quiet pressure permeates the land, directionless, omnipresent. Disconcerting. Thunder rolls lazily through the valley, but this was something different. The animals seem to pick up on it as well; herd boundaries have become fuzzy and several individuals left altogether, galloping toward the distant hills.
6 | Naomi | Thought | Are they afraid?
7 | Naomi | Narration | Exposing my palm and placing it on the ground let a resonance enter my body, soft electricity flowing from my hand, up my forearm and into my spine. The familiarity sent a sharp pang of fear that settled in my stomach. I could feel a subtle increase in intensity and pulled my hand from the ground, letting my suit cover it once more.
8 | Naomi | Thought | Perhaps that's why they're fleeing, in greater numbers now too.
9 | Naomi | Narration | A soft buzzing lingered in my fingers as lightning shot from the chasm in the center of the valley. Thunder asserted itself as late morning gave way to twilight, with a quickness like that of a total solar eclipse.


T | 89 | Scene | Phase II

10 | Naomi | Narration | Looking toward the sky I half expected a black disk with smooth, silky white flames burning around the circumference, yet there was nothing. The sky remained less than forthcoming about letting us witness anything other than sky. This place had no moon, no sun for that matter. It had nothing, the closest thing to Oblivion incarnate at its core. I couldn't help but wonder what those animals knew, and why they no longer surrounded the thundering chasm. As the intensity grew even further, the tracks I witnessed during the descent slowly came alive. Parallel snakes headed by massive boulders. Coiling; constricting.

T | 109 | Scene | Crucible

11 | Naomi | Narration | Twilight faded to night as the sky fractured into numerous irregular obsidian slabs with a familiar incandescent glow that shone through the boundaries. Networked constellations criss-crossed the sky in lieu of stars.
12 | Naomi | Thought | They were so large in the Forest...
13 | Naomi | Narration | A few beats pass, then we get hit with the shockwave. The Emissary provided a hologram of the mirrors to observe since the frozen mirrors, white hot and blinding, were too bright to look at. The edges of each of the mirrors are the only visible area of light; the rest of their surface is focusing light that we can't see, but could render planets extinct with no heed time.
14 | Naomi | Narration | Em provided a hologram of the mirrors to observe, and took the opportunity to share what they felt relevant.
15 | Naomi | Narration | Naomi watched the ground on the other side of the barrier as rocks and pebbles began to float. Even though she was untethered, she could feel the raw strength of the electric and magnetic fields as the station accounted for changes in the incoming GRB.  The deep resonance of the engine warping spacetime itself, forcing her own personal reference frame to respond.
16 | Naomi | Thought | spacetime resonance...

T | 147 | Scene | Divinity

17 | Emissary | Spoken | Why don't sharks have bones?
18 | Kai | Spoken | What?
19 | Emissary | Spoken | Why don't sharks have bones?
20 | Kai | Spoken | They have cartilage instead, they aren't a bony fish.
21 | Naomi | Spoken | Right, but why?
22 | Emissary | Spoken | For the same reason entire mountain ranges can be devoid of any skeletal structures at all.

T | 187 | Scene | Orders of Magnitude

23 | Narration | Thought | 「 ✦ ⁂ ✦ 」 

# END
